,OverallQual,SF,GrLivArea,GarageCars,baths,ExterQual_TA,BsmtQual_Ex,TotRmsAbvGrd,GarageYrBlt,KitchenQual_TA,YearRemodAdd,KitchenQual_Ex,FireplaceQu_NA,MasVnrArea,Fireplaces,ExterQual_Gd,BsmtQual_TA,ExterQual_Ex,HeatingQC_Ex,Neighborhood_NridgHt,GarageFinish_Fin,GarageFinish_Unf,porch,LotArea,MasVnrType_None,SaleType_New,MSSubClass_60,GarageType_Detchd,FireplaceQu_Gd,MasVnrType_Stone,KitchenQual_Gd,GarageType_Attchd,GarageArea,ExterirorVinylSd,HeatingQC_TA,LotFrontage,BsmtExposure_Gd,MSZoning_RM,Neighborhood_NoRidge,GarageCond_TA,LotShape_Reg,BsmtExposure_No,CentralAir_Y,SaleType_WD,BsmtQual_Gd,GarageQual_TA,MSZoning_RL,GarageType_BuiltIn,Electrical_SBrkr,MSSubClass_30,RoofStyle_Hip,PavedDrive_Y,HouseStyle_2Story,FireplaceQu_Ex,RoofStyle_Gable,Neighborhood_StoneBr,PavedDrive_N,LotShape_IR1,MasVnrType_BrkFace,Electrical_FuseA,Neighborhood_OldTown,Neighborhood_NAmes,Fence_NA,Neighborhood_Edwards,GarageFinish_RFn,Neighborhood_IDOTRR,HouseStyle_1.5Fin,FireplaceQu_TA,ExterirorMetalSd,KitchenQual_Fa,BedroomAbvGr,MSSubClass_50,Fence_MnPrv,BsmtCond_NA,SaleCondition_Normal,LotConfig_CulDSac,Neighborhood_Somerst,Neighborhood_BrkSide,Alley_Grvl,SaleCondition_Abnorml,BldgType_1Fam,HeatingQC_Fa,GarageQual_Fa,BsmtCond_Fa,HeatingQC_Gd,GarageCond_Fa,Neighborhood_Timber,LotShape_IR2,BsmtExposure_Av,BsmtQual_Fa,Neighborhood_Sawyer,Electrical_FuseF,LandContour_HLS,Alley_NA,ExterQual_Fa,Functional_Typ,BldgType_Duplex,Neighborhood_MeadowV,MSSubClass_160,MSZoning_C (all),Condition_Norm,Neighborhood_BrDale,LandContour_Bnk,Fence_GdWo,BsmtCond_TA,ExterirorAsbShng,BldgType_Twnhs,BldgType_2fmCon,MSZoning_FV,HouseStyle_SFoyer,BsmtCond_Gd,PavedDrive_P,HouseStyle_1.5Unf,ExterirorHdBoard,MSSubClass_45,MSSubClass_180,SaleType_COD,OverallCond,BsmtFinTypeUnf,Neighborhood_CollgCr,FireplaceQu_Po,Neighborhood_Crawfor,MiscFeature_NA,Functional_Min2,Functional_Maj2,GarageType_CarPort,MiscFeature_Shed,Condition_PosN,MSSubClass_120,LotConfig_Inside,MSZoning_RH,Neighborhood_Veenker,Functional_Min1,GarageCond_Po,Neighborhood_SWISU,Neighborhood_ClearCr,Neighborhood_Mitchel,BsmtCond_Po,LowQualFinSFPercent,MasVnrType_NA,HouseStyle_1Story,Fence_MnWw,SaleCondition_AdjLand,MSSubClass_20,MSSubClass_85,Electrical_FuseP,LandContour_Low,BsmtExposure_Mn,GarageQual_Po,SaleCondition_Family,GarageQual_Gd,MasVnrType_BrkCmn,LotShape_IR3,SaleType_Con,SaleType_ConLD,Street_Grvl,MiscFeature_Othr,Neighborhood_Gilbert,Electrical_Mix,HouseStyle_2.5Fin,Neighborhood_NPkVill,HouseStyle_SLvl,MSSubClass_70,GarageQual_Ex,SaleType_Oth,Condition_Artery,RoofStyle_Gambrel,Functional_Maj1,ExterirorStucco,LandContour_Lvl,Condition_Feedr,HeatingQC_Po,ExterirorBrkFace,GarageType_Basment,ExterirorImStucc,SaleType_ConLw,MSSubClass_80,ExterirorAsphShn,GarageCond_Ex,Alley_Pave,Neighborhood_NWAmes,HouseStyle_2.5Unf,ExterirorCBlock,FireplaceQu_Fa,GarageType_2Types,MiscFeature_TenC,YrSold,RoofStyle_Shed,Neighborhood_Blmngtn,SaleType_CWD,Neighborhood_Blueste,SalePrice
0,7,7.563160621347425,6.4305634478069384,2,4,0,0,8,103.0,0,53,0,1,196.0,0,1,0,0,1,0,0,0,61,9.587694277262452,0,0,1,0,0,0,1,1,1.8787892035520972,1,0,2.8394115144336776,0,0,0,1,1,1,1,1,1,1,1,0,1,0,0,1,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,208500
1,6,7.692704238566173,5.96025497245405,2,3,1,0,6,76.0,1,26,0,0,0.0,1,0,0,0,1,0,0,0,298,9.89846400767953,1,0,0,0,0,0,0,1,1.8461874022653986,0,0,2.990697562442441,1,0,0,1,1,0,1,1,1,1,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,3,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,100.0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,181500
2,7,7.516501018911801,6.500853268474137,2,4,0,0,6,101.0,0,52,0,0,162.0,1,1,0,0,1,0,0,0,42,10.298835719535589,0,0,1,0,0,0,1,1,1.8984115082442703,1,0,2.8716217110259006,0,0,0,1,0,0,1,1,1,1,1,0,1,0,0,1,1,0,1,0,0,1,1,0,0,0,1,0,1,0,0,1,0,0,3,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,100.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,223500
3,7,7.201081075078706,6.437134355456729,3,2,1,0,7,98.0,0,20,0,0,0.0,1,0,1,0,0,0,0,1,307,9.885550132818118,1,0,0,1,1,0,1,0,1.9087695701672376,0,0,2.7831576837137404,0,0,0,1,0,1,1,1,0,1,1,0,1,0,0,1,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140000
4,8,7.951713012813588,6.847103962911923,3,4,0,0,9,100.0,0,50,0,0,350.0,1,1,0,0,1,0,0,0,276,10.927728121994317,0,0,1,0,0,0,1,1,1.959840047136567,1,0,3.027400104035091,0,0,1,1,0,0,1,1,1,1,1,0,1,0,0,1,1,0,1,0,0,1,1,0,0,0,1,0,1,0,0,1,0,0,4,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,250000
5,5,7.332033839451537,6.074971948453085,2,3,1,0,5,93.0,1,45,0,1,0.0,0,0,0,0,1,0,0,1,390,10.899842451849722,1,0,0,0,0,0,0,1,1.8540614485973645,1,0,3.036370276710811,0,0,0,1,0,1,1,1,1,1,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,143000
6,8,8.301384740877886,6.415468124347074,2,3,0,1,7,104.0,0,55,0,0,186.0,1,1,0,0,1,0,0,0,312,10.020934172274835,0,0,0,0,1,1,1,1,1.9069781262933465,1,0,2.942830956382712,0,0,0,1,1,0,1,1,0,1,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,3,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,100.0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,307000
7,7,7.996090885713039,6.761399100973839,2,4,1,0,7,73.0,1,23,0,0,240.0,2,0,0,0,1,0,0,0,667,10.094161668602682,0,0,1,0,0,1,0,1,1.8556007362580844,0,0,2.9345279290260042,0,0,0,1,0,0,1,1,1,1,1,0,1,0,0,1,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,3,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,100.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,200000
8,7,7.225725564178759,6.48990596059029,2,2,1,0,8,31.0,1,0,0,0,0.0,2,0,1,0,0,0,0,1,295,8.844796711198725,1,0,0,1,0,0,0,0,1.8493733085983275,0,0,2.6723451177837885,0,1,0,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,2,1,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,129900
10,5,7.39217859424791,5.678823028867355,1,2,1,0,5,65.0,1,15,0,1,0.0,0,0,1,0,1,0,0,1,0,10.287373447220803,1,0,0,1,0,0,0,0,1.8131474454755332,0,0,2.892507608519078,0,0,0,1,1,1,1,1,0,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,5,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,100.0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,129500
